Brand;Model;Price;Type;Weight ;Frame Size;Rear Derailleur;Speed;Fork;Brakes
Cube;Stereo 120 Race 29 Suspension Bike 2021;1999;Mountain;14.6kg;L, M, XL;Shimano XT RD-M8100-SGS, ShadowPlus, 12-Speed;12 Speed;RockShox Recon Gold RL Air, Tapered, 15x110mm, 130mm travel;Shimano BR-MT500, Hydr. Disc Brake (180/180mm rotors)
Vitus;Escarpe 27 CR Mountain Bike 2021;1999,99;Mountain;14.85kg (Medium frame, tubeless setup);M, XL, S, L;Shimano Deore M6100 Shadow plus, long cage, 12 speed;11 Speed;Marzocchi Bomber Z2 27.5” Rail damper, Float air spring, 34mm stanchions, 150mm travel, 110mm x 15mm QR axle 44mm rake;Shimano MT420
Vitus;Escarpe 29 CR Mountain Bike 2021;1999,99;Mountain;15.15kg (Medium frame, Tubeless setup);L, S, XL, M;Shimano Deore M6100 Shadow plus, long cage, 12 speed;11 Speed;Marzocchi Bomber Z2 29” Rail damper, Float air spring, 34mm stanchions, 150mm travel, 110mm x 15mm QR axle 44mm rake;Shimano MT420
Commencal;Clash Origin Full Suspension Bike 2021;2099;Mountain;15.5kg / 34.17lbs;L, XL, M;Shimano Deore 10-speed;12 Speed;"RockShox Yari RC, 180mm travel, 27.5"", Motion Control damper, Debonair, rebound, Boost (15x110mm), 37mm offset";SRAM Guide T, 4 pistons, matchmaker compatible, Rotors: SRAM G2 CleanSweep 200mm, 6-bolt
Commencal;Meta TR 29 Origin Suspension Bike 2021;2099;Mountain;15.8kg / 34lbs 13.3oz;XL;Shimano Deore, 11-Speed;11 Speed;RockShox 35 Silver R, 150mm travel, coil spring, rebound adjust, 42mm offset, 35mm stanchions;Shimano MT-501, 2-piston, Shimano RT66 203mm 6-bolt rotors
Nukeproof;Scout 275 Pro Bike (SLX) 2021;2099,99;Mountain;12.9kgs/28.4lbs (Tubeless);S, XL, L, M;Shimano SLX M7100, SGS 12-Speed, Shadow Plus;12 Speed;RockShox Lyrik Select Charger RC 150mm, 46mm Offset, BOOST, Debonair, Gloss Black;Shimano SLX M7120, 4 Pot Brake, Resin Pads with Fins
Nukeproof;Scout 290 Pro Bike (SLX) 2021;2099,99;Mountain;12.9kgs/28.5lbs (Tubeless);XL, M, L;Shimano SLX M7100, SGS 12-Speed, Shadow Plus;12 Speed;RockShox Lyrik Select Charger RC 140mm, 42mm Offset, BOOST, Debonair, Gloss Black;Shimano SLX M7120, 4 Pot Brake, Resin Pads with Fins
NS Bikes;Define AL 130 Suspension Bike 2020;2149,99;Mountain;14.8kg (Medium size with Tubeless setup);L, S, M;SRAM GX Eagle Type 3 12-Speed;12 Speed;Fox Performance 34 Float Grip, 140mm travel, 3pos-Adj, Open Mode Adj, 15x110mm Boost, 1.5 tapered steerer tube, 44 offset;"Front: SRAM Guide R, 200mm; Rear: SRAM Guide R, 180mm"
NS Bikes;Define AL 150 Suspension Bike 2020;2239,99;Mountain;14.9kg (Medium bike with Tubeless setup);M;SRAM GX Eagle Type 3 12-Speed;12 Speed;Fox Performance 36 Float Grip, 160mm travel, 3pos-Adj, Open Mode Adj, 15x110mm Boost, 1.5 tapered steerer tube, 44 offset;"Front: SRAM Guide RE, 200mm; Rear: SRAM Guide RE, 180mm"
Kona;Process 134 27.5 Suspension Bike 2021;2399;Mountain;------;XL, S, M, L;Shimano Deore 11-Speed;11 Speed;RockShox Recon RL Motion Control Solo Air 140mm Tapered 110mm Spacing;Shimano RT30 180mm (Centerlock)
Kona;Process 134 AL 29 Suspension Bike 2021;2399;Mountain;------;S, L, M, XL;Shimano Deore, 11-Speed;11 Speed;Rockshox Recon Rl Motion Control Solo Air 140mm Tapered 110mm Spacing;Shimano RT30 180mm (Centerlock)
Vitus;Sommet 27 CR Mountain Bike 2021;2399,99;Mountain;15.50kg (Tubeless setup);S, M, L, XL;Shimano Deore M6100 Shadow plus, long cage, 12 speed;11 Speed;RockShox Yari RC 27.5” Motion Control damper, DebonAir, 35mm stanchions, 170mm travel, 110mm x 15mm MaxleStealth axle 37mm offset;Shimano MT520
Vitus;Sommet 29 CR Mountain Bike 2021;2399,99;Mountain;15.77kg (Tubeless setup);S, XL, L, M;Shimano Deore M6100 Shadow plus, long cage, 12 speed;11 Speed;RockShox Yari RC 29” Motion Control damper, DebonAir, 35mm stanchions, 170mm travel, 110mm x 15mm MaxleStealth axle 42mm offset;Shimano MT520
Nukeproof;Dissent 275 Comp DH Bike (GX) 2020;2459,99;Mountain;------;S, M, XL;------;7 Speed;RockShox Boxxer Select R 200mm, 46mm Offset, BOOST 20x110mm, Debonair, Gloss Black;SRAM Guide RE
Nukeproof;Dissent 290 Comp DH Bike (GX) 2020;2459,99;Mountain;------;M;------;7 Speed;RockShox Boxxer Select R 200mm, 56mm Offset, BOOST 20x110mm, Debonair, Gloss Black;SRAM Guide RE
Commencal;Clash Ride Full Suspension Bike 2021;2499;Mountain;15.9kg / 35lbs;XL;SRAM SX Eagle, 12-speed;12 Speed;RockShox ZEB,180mm travel, Charger damper, DebonAir spring, rebound adjust, 38mm offset, 38mm stanchions;SRAM Guide T 4-piston, MatchMaker clamps, SRAM G2 Cleansweep 200mm 6-bolt rotors
Vitus;Rapide 29 CRX Mountain Bike 2021;2499,99;Mountain;;L, M, XL, S;Shimano XT M8100 Shadow plus, long cage, 12 speed;12 Speed;RockShox SID SL Ultimate 29”, DebonAir, Charger Race Day damper, 32mm stanchions, tapered alloy steerer, 100mm travel, Boost hub spacing – 110mm x 15mm Maxle Stealth axle. RockShox OneLoc Sprint;Shimano XT M8100
Commencal;Meta AM 29 Ride Suspension Bike 2021;2599;Mountain;------;M, XL, L;SRAM NX Eagle, 12-speed;12 Speed;"RockShox ZEB, 170mm travel, 29"", Charger Damper, Debonair, Rebound, Boost (15 x 110 mm), 44mm offset";Shimano Deore, I-SPEC EV compatible, Rotors: Shimano SM-RT66 203mm, 6-bolt
Nukeproof;Mega 275 Comp Alloy Bike (Deore) 2021;2699,99;Mountain;15.4Kgs/33.9lbs (Tubeless);M, S, XXL, L, XL;Shimano Deore M6100, SGS 12-Speed, Shadow Plus;12 Speed;RockShox Yari, Motion Control RC damper, 170mm, 37mm Offset, BOOST, Debonair, Gloss Black;Shimano Deore M6120 4 pot brake, Resin Pads
Nukeproof;Mega 290 Comp Alloy Bike (Deore) 2021;2699,99;Mountain;15.5Kgs/34.2lbs (Tubeless);XL, S, XXL, L, M;Shimano Deore M6100, SGS 12-Speed, Shadow Plus;12 Speed;RockShox Yari, Motion Control RC damper, 170mm, 42mm Offset, BOOST, Debonair, Gloss Black;Shimano Deore M6120 4 pot brake, Resin Pads
Nukeproof;Reactor 275 Comp Alloy Bike (Deore) 2021;2699,99;Mountain;14.67 kg / 32.3lbs (Medium);M, XL, S, L;Shimano Deore M6100, SGS 12-Speed, Shadow Plus;12 Speed;Marzocchi Bomber Z2, 150mm, 44mm Offset, BOOST, RAIL Damper, Gloss Black (SHORT ID: D6S3);Shimano Deore M6120 4 pot brake, Resin Pads
Nukeproof;Reactor 290 Comp Alloy Bike (Deore) 2021;2699,99;Mountain;14.68 kg / 32.3lbs (Tubeless);M, L, XL;Shimano Deore M6100, SGS 12-Speed, Shadow Plus;12 Speed;Marzocchi Bomber Z2, 140mm, 44mm Offset, BOOST, RAIL Damper, Gloss Black (SHORT ID: D6S2);Shimano Deore M6120 4 pot brake, Resin Pads
Vitus;Escarpe 27 CRS Mountain Bike 2021;2699,99;Mountain;14.52kg (Medium frame, tubeless setup);XL, L, M, S;Shimano SLX M7100 Shadow plus, long cage, 12 speed;12 Speed;RockShox Pike Select 27.5” Charger RC damper, DebonAir, 35mm stanchions, 150mm travel, 110mm x 15mm MaxleStealth axle 37mm offset;Shimano SLX MT7120
Vitus;Escarpe 29 CRS Mountain Bike 2021;2699,99;Mountain;14.82kg (Medium frame, tubeless setup);M, S, XL, L;Shimano SLX M7100 Shadow plus, long cage, 12 speed;12 Speed;RockShox Pike Select 29” Charger RC damper, DebonAir, 35mm stanchions, 150mm travel, 110mm x 15mm MaxleStealth axle 37mm offset;Shimano SLX MT7120
Vitus;Sommet 27 CRS Mountain Bike 2021;2899,99;Mountain;15.25kg (tubeless setup);M, XL, S, L;Shimano SLX M7100 Shadow plus, long cage, 12 speed;12 Speed;RockShox Lyrik Select 27.5” Charger RC damper, DebonAir, 35mm stanchions, 170mm travel, 110mm x 15mm MaxleStealth axle 37mm offset;Shimano SLX MT7120
Vitus;Sommet 29 CRS Mountain Bike 2021;2899,99;Mountain;15.52kg (tubeless setup);S, XL, L, M;Shimano SLX M7100 Shadow plus, long cage, 12 speed;12 Speed;RockShox Lyrik Select 29” Charger RC damper, DebonAir, 35mm stanchions, 170mm travel, 110mm x 15mm MaxleStealth axle 42mm offset;Shimano SLX MT7120
Vitus;Sommet 27 CRS Bike (XT-SLX 1x12) Covert 2020;2979,99;Mountain;------;XL;Shimano XT RD-M8100, SGS, top normal, Shadow Plus;12 Speed;"Fox Float 36 Performance, 27.5"", 170mm, GRIP damper, Kabolt 110, 44mm offset";Shimano SLX 7120, 4-piston, metal pad with fin, SM-RT70 203mm rotor
Cube;AMS 100 C:68 Race Suspension Bike 2021;2999;Mountain;12.4kg;M;SRAM GX Eagle™, 12-Speed;12 Speed;RockShox Recon Gold RL Air, Tapered, 15x110mm, 120mm travel;Magura MT Thirty, Front 2-Piston/Rear 2-Piston, Hydr. Disc Brake (180/180)
Cube;Stereo 150 C:62 Race 29 Suspension Bike 2021;2999;Mountain;15.8kg;L, S;SRAM GX Eagle™, 12-Speed;12 Speed;RockShox Lyrik Select, Tapered, 110x15mm, 160mm;Magura MT Thirty, Front 4-Piston/Rear 2-Piston, Hydr. Disc Brake (203/180)
Cube;Stereo 170 Race 29 Suspension Bike 2021;2999;Mountain;13.4 kg;L, XL, M;Sram GX Eagle™, 12-Speed;12 Speed;Fox 38 Float Performance GRIP, 3-Position w/ Micro Adjust, Tapered, 15x110mm, 170mm;Magura MT5, Hydr. Disc Brake (203/180)
NS Bikes;Synonym 2 Suspension Bike 2020;2999;Mountain;12.4kg (M size, tubeless setup);M;SRAM GX Eagle Type 3 12-Speed;12 Speed;Fox Performance 34 Step Cast Float Grip, 120mm travel, 2pos remote lockout w/ Open Mode Adj, push-to-unlock, 15x110mm Boost, 1.5 tapered steerer tube, 44 offset;SRAM Level T
Vitus;Sommet 27 CRX Bike (XTR-XT 1x12) 2020;3199,99;Mountain;------;XL;Shimano XTR RD-M9100, Shadow Plus;12 Speed;"Fox Float 36 Factory, 27.5"", FIT GRIP 2, 170mm, light compresson tune, HSC/LSC/HSR/LSR adjusters, Kabolt 110, 44mm offset";Shimano XT M8120, 4-piston, metal pad with fin, MT800 203mm rotors
NS Bikes;Synonym 1 Suspension Bike 2020;3229,99;Mountain;11.8kg (M size, tubeless setup);L, M;SRAM X01 Eagle type 3 12-Speed;12 Speed;Fox Factory 34 Step Cast Float FIT4, 120mm travel, 2pos remote lockout w/ Open Mode Adj, push-to-unlock, 15x110mm Boost, 1.5 tapered steerer tube, 44 offset;SRAM Level TL
GT;Fury Expert Suspension Bike 2021;3299,99;Mountain;TBC;L;Shimano Zee;10 Speed;X-Fusion RV1, 200mm, 20x110mm Thru-Axle, Adjustable Rebound & Compression;TRP Slate T4 Hydro Disc, 203mm Rotors
Nukeproof;Dissent 275 Comp Bike (GX DH) 2021;3299,99;Mountain;TBC;S;SRAM GX DH 7-Speed;7 Speed;RockShox Boxxer Select Charger RC, 27.5”, 200mm travel, 46mm Offset, BOOST 20x110mm, Debonair, Gloss Black;SRAM Guide RE
Nukeproof;Dissent 290 Comp Bike (GX DH) 2021;3299,99;Mountain;TBC;L, XL, M;SRAM GX DH 7-Speed;7 Speed;RockShox Boxxer Select R 200mm, 46mm Offset, BOOST 20x110mm, Debonair, Gloss Black;SRAM Guide RE
Nukeproof;Dissent 297 Comp Bike (GX DH) 2021;3299,99;Mountain;------;XL, M, L;SRAM GX DH 7-Speed;7 Speed;RockShox Boxxer Select Charger RC 200mm Travel, 46mm Offset, BOOST 20x110mm, Debonair, Gloss Black;SRAM Guide RE
Nukeproof;Mega 275 Pro Alloy Bike (GX Eagle) 2021;3399,99;Mountain;14.6Kgs/32.1lbs (Tubeless);XL, S, L, M, XXL;SRAM GX Eagle 12-Speed;12 Speed;RockShox Lyrik Select + Charger 2.1 RC 170mm, 37mm Offset, BOOST, Debonair, Gloss Black;SRAM Guide RE
Nukeproof;Mega 290 Pro Alloy Bike (GX Eagle) 2021;3399,99;Mountain;14.6Kgs/32.2lbs (Tubeless);L, XL, M, XXL, S;SRAM GX Eagle 12-Speed;12 Speed;RockShox Lyrik Select + Charger 2.1 RC 170mm, 42mm Offset, BOOST, Debonair, Gloss Black;SRAM Guide RE
Nukeproof;Reactor 275 Pro Alloy Bike (GX Eagle) 2021;3399,99;Mountain;TBC;M, XL, L, S;SRAM GX Eagle 12-Speed;12 Speed;RockShox Pike Select + Charger 2 RC 150mm, 46mm Offset, BOOST, Debonair, Gloss Black;SRAM Guide RE hydraulic disc brakes
Nukeproof;Reactor 290 Pro Alloy Bike (GX Eagle) 2021;3399,99;Mountain;TBC;XL, M, L;SRAM GX Eagle 12-Speed;12 Speed;RockShox Pike Select + Charger 2 RC 140mm, 42mm Offset, BOOST, Debonair, Gloss Black;SRAM Guide RE hydraulic disc brakes
Cube;Stereo 170 TM 29 Suspension Bike 2021;3499;Mountain;------;M, XL;Shimano XT RD-M8100-SGS, ShadowPlus, 12-Speed;12 Speed;RockShox ZEB Ultimate RC2, 110x15mm, Tapered, 180mm;Hayes Dominion A4, Hydraulic Disc Brakes (203/180mm rotors)
Vitus;Escarpe 27 CRX Mountain Bike 2021;3499,99;Mountain;14kg (tubeless setup);L, M, S, XL;Shimano XT M8100 Shadow plus, long cage, 12 speed;12 Speed;FOX 36 Float Factory Series 27.5” Kashima coating, Grip2 damper, 36mm stanchions, 150mm travel, 110mm x 15mm QR axle 37mm rake;Shimano XT MT8120
Vitus;Escarpe 29 CRX Mountain Bike 2021;3499,99;Mountain;14.3kg (tubeless setup);XL, L, S, M;Shimano XT M8100 Shadow plus, long cage, 12 speed;12 Speed;FOX 36 Float Factory Series 29” Kashima coating, Grip2 damper, 36mm stanchions, 150mm travel, 110mm x 15mm QR axle 44mm rake;Shimano XT MT8120
Vitus;Sommet 27 CRX Mountain Bike 2021;3599,99;Mountain;15kg (tubeless setup);S, M, L, XL;Shimano XT M8100 Shadow plus, long cage, 12 speed;12 Speed;FOX 38 Float EVOL Factory Series 27.5” Kashima coating, Grip2 damper, 38mm stanchions, 170mm travel, 110mm x 15mm QR axle 37mm rake;Shimano XT MT8120
Vitus;Sommet 29 CRX Mountain Bike 2021;3599,99;Mountain;15kg (tubeless setup);L, M, S, XL;Shimano XT M8100 Shadow plus, long cage, 12 speed;12 Speed;FOX 38 Float EVOL Factory Series 29” Kashima coating, Grip2 damper, 38mm stanchions, 170mm travel, 110mm x 15mm QR axle 37mm rake;Shimano XT MT8120
Nukeproof;Dissent 275 RS DH Bike (XO1) 2020;3649,99;Mountain;------;L, M, S, XL;------;7 Speed;RockShox Boxxer Ultimate, Charger 2, 200mm, 46mm Offset, BOOST 20x110mm, Debonair, Boxxer Red;SRAM Code R, Sintered pads
Nukeproof;Dissent 290 RS DH Bike (XO1) 2020;3649,99;Mountain;------;M, L;------;7 Speed;RockShox Boxxer Ultimate, Charger 2, 200mm, 56mm Offset, BOOST 20x110mm, Debonair, Boxxer Red;SRAM Code R, Sintered pads
Commencal;Clash Race Full Suspension Bike 2021;3799;Mountain;15.8kg / 34.13lbs;M, L, XL;SRAM GX Eagle, 12-speed;12 Speed;RockShox ZEB Ultimate 180mm travel, Charger 2.1 damper, DebonAir spring, high/low-speed compression;Shimano SLX, 4-piston, I-SPEC EV lever clamps, Shimano RT76 203mm 6-bolt rotors
Cube;Stereo 120 HPC SLT 29 Suspension Bike 2021;3799;Mountain;11.9 kg;M, XL, L;Shimano XT RD-M8100-SGS, ShadowPlus, 12-Speed;12 Speed;Fox 34 Float Factory FIT4, Open (Adjustable) / Medium / Firm Mode, Tapered, 15x110mm, 130mm, Kashima Coated;Shimano XT BR-M8100, Hydr.Disc Brake (180/180)
Cube;AMS 100 C:68 TM 29 Suspension Bike 2021;3999;Mountain;11.9kg;S;Shimano XT RD-M8100-SGS, ShadowPlus, 12-Speed;12 Speed;Fox 34 SC Float Factory FIT4, Open(Adjustable)/Medium/Firm Mode, Tapered, 15x110mm, 120mm travel, Kashima Coated;Shimano XT BR-M8120/M8100, Hydr. Disc Brake (180/180mm rotors)
Cube;Stereo 170 SL 29 Suspension Bike 2021;3999;Mountain;15.7 kg;L, M, XL;Shimano XT RD-M8100-SGS, ShadowPlus, 12-Speed;12 Speed;Fox 38 Float FIT GRIP2 Factory, Tapered, 15x110mm, 170mm, Kashima Coated;Shimano XT BR-M8120, Hydr.Disc Brake (203/180)
Nukeproof;Mega 275 Elite Carbon Bike (SLX) 2021;3999,99;Mountain;------;M, XXL, XL, L, S;Shimano SLX M7100, SGS 12-Speed, Shadow Plus;12 Speed;Fox 36 Float, Performance Elite Series, Grip 2 Damper, 170mm, 37mm Offset, BOOST, Black (SHORT ID: D6GB);Shimano SLX M7120, 4 Pot Brake, Metallic Pads with Fins
Nukeproof;Mega 275 RS Carbon Bike (XO1 Eagle) 2020;3999,99;Mountain;14.4Kgs/31.6lbs (Tubeless);XL;SRAM X01 Eagle 12-Speed, Red;12 Speed;RockShox Lyrik Ultimate Charger 2 RC2 180mm, 46mm Offset, BOOST, Debonair, Gloss Red;SRAM Code RSC
Nukeproof;Mega 290 Elite Carbon Bike (SLX) 2021;3999,99;Mountain;14.7Kgs/32.3lbs (Tubeless);XXL, L, M, S, XL;Shimano SLX M7100, SGS 12-Speed, Shadow Plus;12 Speed;Fox 36 Float, Performance Elite Series, Grip 2 Damper, 170mm, 44mm Offset, BOOST, Black (SHORT ID: D6F9);Shimano SLX M7120, 4 Pot Brake, Metallic Pads with Fins
Nukeproof;Reactor 275 Elite Carbon Bike (SLX) 2021;3999,99;Mountain;14.3 kg / 31.5lbs (Medium);M, XL, S, L;Shimano SLX M7100, SGS 12-Speed, Shadow Plus;12 Speed;Fox 36 Float, Performance Elite Series, Grip 2 Damper, 150mm, 44mm Offset, BOOST, Black (SHORT ID: D6GF);Shimano SLX M7120, 4 Pot Brake, Metallic Pads with Fins
Nukeproof;Reactor 290 Elite Carbon Bike (SLX) 2021;3999,99;Mountain;14.5 kg / 31.9lbs (Tubeless);L, XL, M;Shimano SLX M7100, SGS 12-Speed, Shadow Plus;12 Speed;Fox 36 Float, Performance Elite Series, Grip 2 Damper, 140mm, 44mm Offset, BOOST, Black (SHORT ID: D6GC);Shimano SLX M7120, 4 Pot Brake, Metallic Pads with Fins
Commencal;Meta AM 29 Team Suspension Bike 2021;4099;Mountain;15.9kg / 35lbs 0.9oz;M, L, XL;SRAM GX Eagle, 12-speed;12 Speed;RockShox ZEB Ultimate, Charger 2.1 damper, DebonAir spring, high/low-speed compression adjust, rebound adjust, 44mm offset, 38mm stanchions;SRAM Code RSC 4-piston, MatchMaker X clamps, SRAM CenterLine 200mm 6-bolt rotors
NS Bikes;Synonym TR 2 Suspension Bike 2021;4199,99;Mountain;12.4kg;L, XL;SRAM GX Eagle, 12-Speed;12 Speed;Fox Float 34 Step Cast Performance Grip, 120mm travel, 2pos remote lockout w/ Open Mode Adj, 110x15mm Boost, 1.5T, 44mm offset;SRAM Level T hydraulic disc
Nukeproof;Reactor 275 RS Carbon Bike (XO1 Eagle) 2020;4199,99;Mountain;------;XL;SRAM XO1 Eagle 12-Speed, red;12 Speed;RockShox Lyrik Ultimate Charger 2 RCT3 160mm, 46mm Offset, BOOST, Debonair, Gloss red;SRAM Code RSC
Nukeproof;Reactor 290 ST Factory Carbon Bike (XT) 2021;4299,99;Mountain;13.2 kg / 29lbs (Tubeless);L, XL, M;Shimano XT M8100, SGS 12-Speed, Shadow Plus;12 Speed;Fox 34 Float, Factory Series, Kashima, Grip 2 Damper, 130mm, 44mm Offset, BOOST, Black (SHORT ID: D6GS);Shimano XT M8120, 4 Pot Brake, Metallic Pads with Fins
NS Bikes;Synonym RC 2 Suspension Bike 2021;4399,9;Mountain;11.4kg;L, XL, M;SRAM GX Eagle, 12-Speed;12 Speed;Fox Float 32 Step Cast Performance Grip, 100mm travel, 2pos remote lockout w/ Open Mode Adj, 110x15mm Boost, 1.5T, 44mm offset;SRAM Level TL
Commencal;Meta AM 29 Ohlins Suspension Bike 2021;4499;Mountain;16kg / 35lbs 4.4oz;L, XL, M;Shimano Deore XT, 12-speed;12 Speed;Öhlins RXF36 M.2, air spring, TTX 18 damper, Ramp Up Chamber, high/low-speed compression adjust, rebound adjust, 44mm offset;Shimano Deore XT, 4-piston, I-SPEC EV clamps, Shimano MT900 203mm CentreLock Ice Technology Freeza rotors
Cube;Stereo 150 C:68 TM 29 Suspension Bike 2021;4799;Mountain;13.8kg;L, M;Shimano XT RD-M8100-SGS, ShadowPlus, 12-Speed;12 Speed;Fox 36 Float Factory FIT GRIP2, Tapered, 15x110mm, 160mm travel, Kashima Coated;Magura MT7, Hydr. Disc Brake (203/180mm rotors)
Nukeproof;Dissent 275 RS Bike (X01 DH) 2021;4899,99;Mountain;TBC;S;SRAM XO1 DH 7-Speed, Red;7 Speed;RockShox Boxxer Ultimate, Charger 2, 200mm travel, 46mm Offset, BOOST 20x110mm, Debonair, Boxxer Red;SRAM Code R, Sintered pads
Nukeproof;Dissent 290 RS Bike (X01 DH) 2021;4899,99;Mountain;TBC;L, M, XL;SRAM XO1 DH 7-Speed, Red;7 Speed;RockShox Boxxer Ultimate, Charger 2, 200mm, 56mm Offset, BOOST 20x110mm, Debonair, Boxxer Red;SRAM Code R, Sintered pads
Nukeproof;Dissent 297 RS Bike (X01 DH) 2021;4899,99;Mountain;16.64kg /36.6lbs (Tubeless);M, XL, L;SRAM XO1 DH 7-Speed, Red;7 Speed;RockShox Boxxer Ultimate, Charger 2, 200mm Travel, 46mm Offset, BOOST 20x110mm, Debonair, Boxxer Red;SRAM Code R, Sintered pads
Nukeproof;Reactor 275 Factory Carbon Bike (XT) 2021;4899,99;Mountain;14 kg / 30.85lbs (Medium);XL, M, L, S;Shimano XT M8100, SGS 12-Speed, Shadow Plus;12 Speed;Fox 36 Float, Factory Series, Kashima, Grip 2 Damper, 150mm, 44mm Offset, BOOST, Black (SHORT ID: D6GG);Shimano XT M8120, 4 Pot Brake, Metallic Pads with Fins
Nukeproof;Reactor 290 Factory Carbon Bike (XT) 2021;4899,99;Mountain;14.2Kgs/31.2lbs (Tubeless);M, L, XL;Shimano XT M8100, SGS 12-Speed, Shadow Plus;12 Speed;Fox 36 Float, Factory Series, Kashima, Grip 2 Damper, 140mm, 44mm Offset, BOOST, Black (SHORT ID: D6GD);Shimano XT M8120, 4 Pot Brake, Metallic Pads with Fins
Nukeproof;Mega 275 Factory Carbon Bike (XT) 2021;4999,99;Mountain;14.8Kgs/32.5lbs (Tubeless);M, XL, L, XXL, S;Shimano XT M8100, SGS 12-Speed, Shadow Plus;12 Speed;Fox 38 Float, Factory Series, Kashima, Grip 2 Damper, 170mm, 37mm Offset, BOOST, Black (SHORT ID: D6G5);Shimano XT M8120, 4 Pot Brake, Metallic Pads with Fins
Nukeproof;Mega 290 Factory Carbon Bike (XT) 2021;4999,99;Mountain;14.8Kgs/32.6lbs (Tubeless);L, S, M, XXL, XL;Shimano XT M8100, SGS 12-Speed, Shadow Plus;12 Speed;Fox 38 Float, Factory Series, Kashima, Grip 2 Damper, 170mm, 44mm Offset, BOOST, Black (SHORT ID: D33L);Shimano XT M8120, 4 Pot Brake, Metallic Pads with Fins
Nukeproof;Mega 275 RS Carbon Bike (X01 Eagle) 2021;5499,99;Mountain;14.5Kgs/31.9lbs (Tubeless);M, XL, L, XXL, S;SRAM XO1 Eagle 12-Speed, Black;12 Speed;RockShox Zeb Ultimate Charger 2.1 RC2 170mm, 38mm Offset, BOOST, Debonair, Grey;SRAM Code RSC, Sintered pads
Nukeproof;Mega 290 RS Carbon Bike (X01 Eagle) 2021;5499,99;Mountain;14.4Kgs/31.8lbs (Tubeless);XXL, L, XL, S, M;SRAM XO1 Eagle 12-Speed, Black;12 Speed;RockShox Zeb Ultimate Charger 2.1 RC2 170mm, 44mm Offset, BOOST, Debonair, Grey;SRAM Code RSC, Sintered pads
Nukeproof;Reactor 275 RS Carbon Bike (X01 Eagle) 2021;5499,99;Mountain;13.9 kg / 30.6lbs (Medium);L, S, M, XL;SRAM X01 Eagle 12-Speed, Red;12 Speed;RockShox Lyrik Ultimate Charger 2 RC2 160mm, 46mm Offset, BOOST, Debonair, Gloss Red;SRAM Code RSC hydraulic disc brakes, sintered pads
Nukeproof;Reactor 290 RS Carbon Bike (X01 Eagle) 2021;5499,99;Mountain;13.9 kg / 30.6lbs (Tubeless);XL, M, L;SRAM X01 Eagle 12-Speed, Red;12 Speed;RockShox Lyrik Ultimate Charger 2 RC2 150mm, 42mm Offset, BOOST, Debonair, Gloss Red;SRAM Code RSC hydraulic disc brakes, sintered pads
NS Bikes;Synonym Race 1 Suspension Bike 2020;6299,99;Mountain;10.5kg (M size, tubeless setup);S;SRAM X01 Eagle Type 3 12-Speed;12 Speed;Fox Factory 32 Step Cast Float FIT4, 100mm travel, 2pos remote lockout w/ Open Mode Adj, push-to-unlock, 15x110mm Boost, 1.5 tapered steerer tube, 44 offset;SRAM Level TLM
NS Bikes;Synonym RC 1 Suspension Bike 2021;6299,99;Mountain;10.5kg;M, L;SRAM X01 Eagle, 12-Speed;12 Speed;Fox Float 32 Step Cast Factory FIT4, 100mm travel, 2pos remote lockout w/ Open Mode Adj, 110x15mm Boost, 1.5T, 44mm offset;SRAM Level TLM
Brand-X;Road Bike;299,99;Road;11.5kg (Medium);M, XL, S, XS, L;Shimano Tourney;7 Speed;Steel;Tektro R312 rim brakes
Zannata;Z25 Road Bike 2020;539,4;Road;------;"47.5cm (18.75""), 44.5cm (17.5""), 54cm (21""), 49.5cm (19.5"")";Shimano Claris;------;Zannata Aluminium;Shimano Claris caliper brakes (rim brakes)
Vitus;Razor Road Bike (Claris) 2021;549,99;Road;;XXS, XL, XXL, M, XS, S, L;Shimano Claris R2000 RD-R2000, 8 Speed;8 Speed;Razor Carbon UD Carbon, Tapered Aluminium Steerer, QR, Mudguard Mounts;Tektro R317 Dual Pivot, Long Reach
Vitus;Razor W Road Bike (Claris) 2021;549,99;Road;;XS, L, S, M, XXS;Shimano Claris R2000 RD-R2000, 8 Speed;8 Speed;Razor Carbon UD Carbon, Tapered Aluminium Steerer, QR, Mudguard Mounts;Tektro R317 Dual Pivot, Long Reach
Cube;Attain Road Bike 2021;699;Road;9.6kg;"60cm (23.5""), 58cm (22.75""), 47cm (18.5""), 56cm (22""), 53.5cm (21""), 50cm (19.5"")";Shimano Claris RD-R2000-GS, 8-Speed;16 Speed;"CUBE CSL Race, Full Carbon, 1 1/8""-1 1/4"" Tapered";Shimano Claris BR-R2000
Cube;Axial WS Road Bike 2021;699;Road;9.4 kg;"53.5cm (21""), 50cm (19.5""), 47cm (18.5""), 56cm (22"")";Shimano Claris RD-R2000-GS, 8-speed;22 Speed;"CUBE CSL Race, One Piece 3D Forged Steerer / Crown, Carbon Blades, 1 1/8 ""- 1 1/4"" Tapered";Shimano Claris BR-R2000 Caliper Rim
Cube;SL Road Bike 2021;699;Road;10.8kg;"53.5cm (21""), 50cm (19.5""), 56cm (22""), 59cm (23"")";Shimano Claris RD-R2000-SS, 8-Speed;16 Speed;Cube TS Disc, Full Carbon, Taper, Flat Mount, 12x100mm;Tektro HD-R280, Hydr. Disc, Flat Mount (160/160mm rotors)
